CourseCode,Semester,CourseName,StudyLevel
SAR401-17,4,Informacijski sustavi i ra?unalne mreže,Stru?ni studij elektrotehnike
SR404-17,4,Algoritmi i strukture podataka,Stru?ni studij elektrotehnike
SAR503-17,5,Programsko inženjerstvo,Stru?ni studij elektrotehnike
SR501-17,5,Web programiranje,Stru?ni studij elektrotehnike
SR502-17,5,Digitalne komunikacije,Stru?ni studij elektrotehnike
SR601,6,Multimedijska tehnika,Stru?ni studij elektrotehnike
SR603-17,6,Razvoj mobilnih aplikacija,Stru?ni studij elektrotehnike
SAIE301-17,3,Osnove automatske regulacije ,Stru?ni studij elektrotehnike
SA401-15,4,Elektri?ni pogoni i strojevi,Stru?ni studij elektrotehnike
SAE401,4,Materijali i tehnološki postupci,Stru?ni studij elektrotehnike
SAE402-15,4,Mjerenja u elektrotehnici,Stru?ni studij elektrotehnike
SA501,5,Automatsko upravljanje,Stru?ni studij elektrotehnike
SA502-16,5,Mikrora?unala u automatizaciji,Stru?ni studij elektrotehnike
SA601-15,6,"Procesna mjerenja, senzori i aktori",Stru?ni studij elektrotehnike
SA602-17,6,Programiranje FPGA,Stru?ni studij elektrotehnike
SAIR601-17,6,Industrijska informatika i automatizacija,Stru?ni studij elektrotehnike
SE302,3,Elektri?ne instalacije i rasvjeta,Stru?ni studij elektrotehnike
SEIA301-17,3,Osnove energetike ,Stru?ni studij elektrotehnike
SEA401-15,4,Transformatori i elektri?ni rotacijski strojevi,Stru?ni studij elektrotehnike
SEIA401-15,4,Energetska elektronika,Stru?ni studij elektrotehnike
SE502,5,Elektroenergetske mreže i vodovi,Stru?ni studij elektrotehnike
SE503-17,5,Elektrane i elektroenergetski sustav,Stru?ni studij elektrotehnike
SE601,6,Elektromotorni pogoni,Stru?ni studij elektrotehnike
SE603-17,6,Tehnologije obnovljivih izvora energije,Stru?ni studij elektrotehnike
SE604-17,6,Prijenos i distribucija elektri?ne energije,Stru?ni studij elektrotehnike
RZ103,1,Signali i sustavi (razlika),Razlikovne obveze
RZ106,1,Osnove energetike i ekologije (razlika),Razlikovne obveze
